id_1,id_2,similarity,id_A,county_code_A,county_name_A,state_code_A,state_name_A,id_B,county_code_B,county_name_B,state_code_B,state_name_B,category
WV_005,WV_001,0.9820102899091177,WV_005,5,Boone County,54,West Virginia,WV_001,1,Barbour County,54,West Virginia,very similar
WV_001,WV_005,0.9820102899091177,WV_001,1,Barbour County,54,West Virginia,WV_005,5,Boone County,54,West Virginia,very similar
AR_003,MS_003,0.9799382056255331,AR_003,3,Ashley County,5,Arkansas,MS_003,3,Alcorn County,28,Mississippi,very similar
MS_003,AR_003,0.9799382056255331,MS_003,3,Alcorn County,28,Mississippi,AR_003,3,Ashley County,5,Arkansas,very similar
IA_009,IA_001,0.9778801397578251,IA_009,9,Audubon County,19,Iowa,IA_001,1,Adair County,19,Iowa,very similar
IA_001,IA_009,0.9778801397578251,IA_001,1,Adair County,19,Iowa,IA_009,9,Audubon County,19,Iowa,very similar
CA_005,CA_009,0.9749306469097273,CA_005,5,Amador County,6,California,CA_009,9,Calaveras County,6,California,very similar
CA_009,CA_005,0.9749306469097273,CA_009,9,Calaveras County,6,California,CA_005,5,Amador County,6,California,very similar
MS_009,SC_009,0.9743110748186419,MS_009,9,Benton County,28,Mississippi,SC_009,9,Bamberg County,45,South Carolina,very similar
SC_009,MS_009,0.9743110748186419,SC_009,9,Bamberg County,45,South Carolina,MS_009,9,Benton County,28,Mississippi,very similar
AL_007,AR_003,0.9705937349069942,AL_007,7,Bibb County,1,Alabama,AR_003,3,Ashley County,5,Arkansas,very similar
AR_003,AL_007,0.9705937349069942,AR_003,3,Ashley County,5,Arkansas,AL_007,7,Bibb County,1,Alabama,very similar
DE_003,MD_005,0.9685313529156022,DE_003,3,New Castle County,10,Delaware,MD_005,5,Baltimore County,24,Maryland,very similar
MD_005,DE_003,0.9685313529156022,MD_005,5,Baltimore County,24,Maryland,DE_003,3,New Castle County,10,Delaware,very similar
TN_007,TN_005,0.9671919392204439,TN_007,7,Bledsoe County,47,Tennessee,TN_005,5,Benton County,47,Tennessee,very similar
TN_005,TN_007,0.9671919392204439,TN_005,5,Benton County,47,Tennessee,TN_007,7,Bledsoe County,47,Tennessee,very similar
IA_005,SD_009,0.9606365291368313,IA_005,5,Allamakee County,19,Iowa,SD_009,9,Bon Homme County,46,South Dakota,very similar
SD_009,IA_005,0.9606365291368313,SD_009,9,Bon Homme County,46,South Dakota,IA_005,5,Allamakee County,19,Iowa,very similar
FL_007,FL_003,0.9557775572147037,FL_007,7,Bradford County,12,Florida,FL_003,3,Baker County,12,Florida,very similar
FL_003,FL_007,0.9557775572147037,FL_003,3,Baker County,12,Florida,FL_007,7,Bradford County,12,Florida,very similar
OK_001,AL_005,0.9547939569331434,OK_001,1,Adair County,40,Oklahoma,AL_005,5,Barbour County,1,Alabama,very similar
AL_005,OK_001,0.9547939569331434,AL_005,5,Barbour County,1,Alabama,OK_001,1,Adair County,40,Oklahoma,very similar
LA_001,LA_009,0.9531778485467377,LA_001,1,Acadia Parish,22,Louisiana,LA_009,9,Avoyelles Parish,22,Louisiana,very similar
LA_009,LA_001,0.9531778485467377,LA_009,9,Avoyelles Parish,22,Louisiana,LA_001,1,Acadia Parish,22,Louisiana,very similar
IA_001,NE_003,0.9509165144657996,IA_001,1,Adair County,19,Iowa,NE_003,3,Antelope County,31,Nebraska,very similar
